crash_record_id,weather_condition,lighting_condition,roadway_surface_cond,prim_contributory_cause,total_vehicles,avg_driver_age,total_people,total_injured
000b3d5fb4f8f1832119418f1be85405a3749321922ee373a9f15f7db60e126f18a9bd4507bff8b4c5a4cd6947400297921448db3e7ce94f4ca9a6bb72875ab3,CLOUDY/OVERCAST,DAYLIGHT,DRY,FOLLOWING TOO CLOSELY,2.0,39.5,2.0,2.0
000b7c059419a8c3ac5a8da1e2c8c84811fa58c006e5969b36f82fe45e40a6de9d2ef00df5f406a7c2d0e2b0ab35cf2d8d41886da0a1c3ae61ff7c8946cf6b04,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,IMPROPER LANE USAGE,2.0,58.0,1.0,1.0
000bb60b876e1457d17589bcfa4e4fd9a3ed4ac1694946fb6ae5299b3acc0d173f41605b1d773fe8c8c34eaeec534a02ec2486ee3673f8903a61d834bcf89328,CLEAR,DAYLIGHT,DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,23.0,2.0,2.0
000bc0c75b604b142b1de7bb8e6c2f6391d370eb5ded9ecb9ce91059c6bbaa4777c97f9032503129547750dae8f1a809f1a48c9bc9b5fb2f924517018df56e1f,CLEAR,DUSK,DRY,IMPROPER LANE USAGE,2.0,60.0,2.0,2.0
000bfaeb494c4c0887767355773b5c2946cfab870e6afd68095c044486fe948539f5aa43bc2d5c2eb66893b598df1c721c088cd92dd36e3d16c0fdfdbe83f825,CLEAR,DAYLIGHT,DRY,FOLLOWING TOO CLOSELY,2.0,40.0,2.0,2.0
000c0961f58749f3526209cfef4a3119599573337afe4380aa0653e3b9e060f163fcb5bbfce585d7fe013c1bfc16cfc8291324c49614506158cee50c830f2fad,CLEAR,"DARKNESS, LIGHTED ROAD",SNOW OR SLUSH,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2.0,37.0,2.0,2.0
000c1910dc5e9e2ce9a85bd9888d3b1e6b89cafb838625b5084f3cc3c465dd551e00e4c7d256b3ea0a04e47f148464532c2581e6db6a8f2ccf73faffaa371467,CLEAR,DAYLIGHT,DRY,DISTRACTION - FROM INSIDE VEHICLE,2.0,42.5,2.0,2.0
000c1be4ffb45d0d5ccc809ada14b78e8d7a86d34030b0c6f1a15e031c254c2bf6b5a865782655e4c56846cecbfb56ab798b992c3e40d2cb639335c7d29486f5,CLEAR,DAYLIGHT,WET,IMPROPER OVERTAKING/PASSING,2.0,32.0,3.0,3.0
000c2f85ebb48dea33d55635fb488fb9951c8fdbdfe4634886fa42e02b937a709a42015e4e12a65e1ed77b22bd7ce101bcc1c223d9efc53373bcf0e922e67ce8,CLOUDY/OVERCAST,DAYLIGHT,UNKNOWN,FAILING TO YIELD RIGHT-OF-WAY,2.0,31.5,2.0,2.0
000c4307d8e9b39075cffdd0aade3603e0f96f14e41da9eee259ec4975d55185c0c51bea918a1c5fb4520cec9c7a50ac442c1671a2d41eaf05442c3b34b9af5b,SNOW,DAYLIGHT,SNOW OR SLUSH,IMPROPER TURNING/NO SIGNAL,2.0,23.0,2.0,2.0
000c85a00ed4e010260e2f7103a99339be48463b051acf17787027632fe6cad9eceae277c155c73ef2c9d6e1b5f84a23616c1c5cfdf6a3f0b3d57f2f0317b70b,CLEAR,DAYLIGHT,DRY,FAILING TO YIELD RIGHT-OF-WAY,3.0,38.666666666666664,3.0,3.0
000c8ca12f499cd4bf8d53d08255f87802a8eea952649701af4389f9153083aa5d604fd9ab02b31dba8fd559d71b88149c200a808dd4dd8026a908cf07d38b89,CLEAR,DARKNESS,DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,50.5,2.0,2.0
000cc30da4460981c9c75c0525b036a5dd1756c88ec739f5ce305d8fcb690166db6a6ae176c1c73fd962c85e5345b507a52f31dd9566367d891b8bcfc60a5118,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",WET,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",3.0,29.75,4.0,4.0
